"","Date.Rptd","date","TIME.OCC","AREA","AREA.NAME","Crm.Cd","Crm.Cd.Desc","Vict.Age","Vict.Sex","Vict.Descent","Premis.Cd","Premis.Desc","Weapon.Used.Cd","Weapon.Desc","Status","Status.Desc","LAT","LON"
"31","03/24/2020 12:00:00 AM",2020-03-24,815,4,"Hollenbeck",624,"BATTERY - SIMPLE ASSAULT",38,"F","H",210,"RESTAURANT/FAST FOOD",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",34.066,-118.2142
"32","03/30/2020 12:00:00 AM",2020-03-30,1330,10,"West Valley",626,"INTIMATE PARTNER - SIMPLE ASSAULT",41,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest",34.1939,-118.4836
"33","03/27/2020 12:00:00 AM",2020-03-27,900,11,"Northeast",420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",29,"F","A",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,"UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont",34.121,-118.2271
"34","03/29/2020 12:00:00 AM",2020-03-29,2010,7,"Wilshire",624,"BATTERY - SIMPLE ASSAULT",30,"M","H",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest",34.0387,-118.3717
"35","03/31/2020 12:00:00 AM",2020-03-31,1020,7,"Wilshire",624,"BATTERY - SIMPLE ASSAULT",57,"M","W",109,"PARK/PLAYGROUND",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",34.0761,-118.3555
"36","03/30/2020 12:00:00 AM",2020-03-30,2130,8,"West LA",210,"ROBBERY",63,"M","O",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",34.043,-118.3785
"37","03/24/2020 12:00:00 AM",2020-03-23,1300,1,"Central",121,"RAPE, FORCIBLE",26,"F","H",503,"HOTEL",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",34.0395,-118.2656
"38","03/28/2022 12:00:00 AM",2020-03-22,500,15,"N Hollywood",236,"INTIMATE PARTNER - AGGRAVATED ASSAULT",33,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",34.1649,-118.3665
"39","03/21/2020 12:00:00 AM",2020-03-21,15,10,"West Valley",236,"INTIMATE PARTNER - AGGRAVATED ASSAULT",45,"F","A",501,"SINGLE FAMILY DWELLING",114,"AIR PISTOL/REVOLVER/RIFLE/BB GUN","AA","Adult Arrest",34.2202,-118.503
"40","03/29/2020 12:00:00 AM",2020-03-28,450,1,"Central",624,"BATTERY - SIMPLE ASSAULT",56,"F","W",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",34.0458,-118.243
"41","03/25/2020 12:00:00 AM",2020-03-25,1525,4,"Hollenbeck",647,"THROWING OBJECT AT MOVING VEHICLE",25,"M","H",101,"STREET",500,"UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont",34.093,-118.1617
"42","03/20/2020 12:00:00 AM",2020-03-20,1955,5,"Harbor",624,"BATTERY - SIMPLE ASSAULT",68,"F","H",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest",33.828,-118.2995
"43","03/23/2020 12:00:00 AM",2020-03-21,1800,2,"Rampart",440,"THEFT PLAIN - PETTY ($950 & UNDER)",31,"F","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",34.0589,-118.2821
"44","03/27/2020 12:00:00 AM",2020-03-27,2215,4,"Hollenbeck",624,"BATTERY - SIMPLE ASSAULT",38,"F","B",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",34.0571,-118.1973
"45","03/28/2020 12:00:00 AM",2020-03-26,300,9,"Van Nuys",121,"RAPE, FORCIBLE",12,"F","W",103,"ALLEY",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","JA","Juv Arrest",34.2012,-118.44
"46","03/19/2020 12:00:00 AM",2020-03-19,2115,8,"West LA",626,"INTIMATE PARTNER - SIMPLE ASSAULT",40,"F","W",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",34.0374,-118.4535
"47","03/24/2020 12:00:00 AM",2020-03-24,1145,11,"Northeast",230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",59,"M","B",707,"GARAGE/CARPORT",500,"UNKNOWN WEAPON/OTHER WEAPON","AO","Adult Other",34.1218,-118.2252
"48","03/31/2020 12:00:00 AM",2020-03-28,700,6,"Hollywood",440,"THEFT PLAIN - PETTY ($950 & UNDER)",26,"M","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",34.1032,-118.3348
"49","03/27/2020 12:00:00 AM",2020-03-27,1800,3,"Southwest",624,"BATTERY - SIMPLE ASSAULT",24,"F","H",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",34.0346,-118.2975
"50","03/23/2020 12:00:00 AM",2020-03-23,800,3,"Southwest",626,"INTIMATE PARTNER - SIMPLE ASSAULT",34,"F","B",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",34.0268,-118.3761
"51","04/28/2022 12:00:00 AM",2020-03-30,1630,8,"West LA",624,"BATTERY - SIMPLE ASSAULT",24,"F","O",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",34.0474,-118.4635
"52","03/25/2020 12:00:00 AM",2020-03-25,845,3,"Southwest",624,"BATTERY - SIMPLE ASSAULT",34,"M","H",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",34.0326,-118.346
"53","03/23/2020 12:00:00 AM",2020-03-23,1545,3,"Southwest",740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",34,"M","B",122,"VEHICLE, PASSENGER/TRUCK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",34.0336,-118.3441
"54","03/24/2020 12:00:00 AM",2020-03-23,2330,5,"Harbor",624,"BATTERY - SIMPLE ASSAULT",30,"F","H",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",33.7793,-118.2748
"55","03/29/2020 12:00:00 AM",2020-03-29,2025,3,"Southwest",745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)",46,"M","H",122,"VEHICLE, PASSENGER/TRUCK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",34.0325,-118.3509
"56","03/28/2020 12:00:00 AM",2020-03-28,1330,1,"Central",761,"BRANDISH WEAPON",29,"M","H",102,"SIDEWALK",211,"AXE","IC","Invest Cont",34.0487,-118.2588
"57","03/23/2020 12:00:00 AM",2020-03-23,2215,2,"Rampart",236,"INTIMATE PARTNER - AGGRAVATED ASSAULT",26,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest",34.0559,-118.2756
"58","03/23/2020 12:00:00 AM",2020-03-21,845,2,"Rampart",230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",45,"M","A",102,"SIDEWALK",312,"PIPE/METAL PIPE","AO","Adult Other",34.0836,-118.2917
"59","03/26/2020 12:00:00 AM",2020-03-26,2340,1,"Central",624,"BATTERY - SIMPLE ASSAULT",47,"M","B",101,"STREET",500,"UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont",34.0553,-118.2391
"60","03/31/2020 12:00:00 AM",2020-03-29,1850,11,"Northeast",624,"BATTERY - SIMPLE ASSAULT",39,"M","H",108,"PARKING LOT",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",34.1086,-118.1898
"61","03/28/2020 12:00:00 AM",2020-03-25,1200,9,"Van Nuys",624,"BATTERY - SIMPLE ASSAULT",61,"F","H",108,"PARKING LOT",500,"UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont",34.1721,-118.4485
"62","03/21/2020 12:00:00 AM",2020-03-21,2055,7,"Wilshire",626,"INTIMATE PARTNER - SIMPLE ASSAULT",47,"F","W",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",34.0368,-118.3754
"63","03/26/2020 12:00:00 AM",2020-03-26,1600,2,"Rampart",930,"CRIMINAL THREATS - NO WEAPON DISPLAYED",58,"M","H",203,"OTHER BUSINESS",511,"VERBAL THREAT","IC","Invest Cont",34.0711,-118.2805
"64","03/21/2020 12:00:00 AM",2020-03-21,400,1,"Central",230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",35,"M","H",122,"VEHICLE, PASSENGER/TRUCK",207,"OTHER KNIFE","IC","Invest Cont",34.0357,-118.2593
"65","03/26/2020 12:00:00 AM",2020-03-26,2245,1,"Central",624,"BATTERY - SIMPLE ASSAULT",60,"F","H",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",34.0442,-118.2439
"66","03/22/2020 12:00:00 AM",2020-03-22,1900,3,"Southwest",624,"BATTERY - SIMPLE ASSAULT",63,"F","H",404,"DEPARTMENT STORE",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",34.0242,-118.3722
"67","03/22/2020 12:00:00 AM",2020-03-22,700,1,"Central",624,"BATTERY - SIMPLE ASSAULT",39,"M","H",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",34.0495,-118.2529
"68","03/25/2020 12:00:00 AM",2020-03-25,1455,18,"Southeast",331,"THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)",46,"F","H",108,"PARKING LOT",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",33.9449,-118.2344
"69","03/28/2020 12:00:00 AM",2020-03-28,1017,2,"Rampart",210,"ROBBERY",52,"M","O",120,"STORAGE SHED",500,"UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont",34.0385,-118.2811
"70","04/01/2020 12:00:00 AM",2020-03-29,2100,8,"West LA",930,"CRIMINAL THREATS - NO WEAPON DISPLAYED",65,"M","W",501,"SINGLE FAMILY DWELLING",511,"VERBAL THREAT","IC","Invest Cont",34.0416,-118.5496
"71","03/21/2020 12:00:00 AM",2020-03-21,2124,6,"Hollywood",230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",34,"M","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",303,"BRASS KNUCKLES","AO","Adult Other",34.0926,-118.3179
"72","03/20/2020 12:00:00 AM",2020-03-20,1220,7,"Wilshire",626,"INTIMATE PARTNER - SIMPLE ASSAULT",46,"F","H",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",34.0432,-118.3385
"73","03/27/2020 12:00:00 AM",2020-03-27,2230,2,"Rampart",236,"INTIMATE PARTNER - AGGRAVATED ASSAULT",29,"F","A",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",205,"KITCHEN KNIFE","AA","Adult Arrest",34.0552,-118.2675
"74","03/26/2020 12:00:00 AM",2020-03-20,1300,2,"Rampart",230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",58,"M","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102,"HAND GUN","AO","Adult Other",34.0496,-118.2677
"75","03/28/2020 12:00:00 AM",2020-03-28,1345,9,"Van Nuys",230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",33,"F","O",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",34.203,-118.4488
"76","04/02/2020 12:00:00 AM",2020-04-02,1100,7,"Wilshire",625,"OTHER ASSAULT",61,"M","B",101,"STREET",511,"VERBAL THREAT","AO","Adult Other",34.0853,-118.3342
"77","03/25/2020 12:00:00 AM",2020-03-24,1400,18,"Southeast",331,"THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)",64,"M","H",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",33.9378,-118.2462
"78","04/02/2020 12:00:00 AM",2020-04-02,1603,8,"West LA",331,"THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)",60,"M","O",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest",34.0641,-118.4411
"79","03/28/2020 12:00:00 AM",2020-03-27,2000,1,"Central",330,"BURGLARY FROM VEHICLE",28,"F","W",101,"STREET",500,"UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont",34.0433,-118.2504
"80","03/21/2020 12:00:00 AM",2020-03-21,1145,1,"Central",350,"THEFT, PERSON",50,"M","H",602,"BANK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest",34.0462,-118.2585
"81","03/24/2020 12:00:00 AM",2020-03-24,1330,8,"West LA",330,"BURGLARY FROM VEHICLE",27,"M","W",101,"STREET",500,"UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont",34.0535,-118.5083
"82","03/26/2020 12:00:00 AM",2020-03-26,1320,2,"Rampart",623,"BATTERY POLICE (SIMPLE)",19,"M","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",34.0496,-118.2677
"83","04/01/2020 12:00:00 AM",2020-04-01,2045,3,"Southwest",626,"INTIMATE PARTNER - SIMPLE ASSAULT",45,"M","B",101,"STREET",500,"UNKNOWN WEAPON/OTHER WEAPON","AO","Adult Other",34.0168,-118.2931
"84","04/01/2020 12:00:00 AM",2020-03-31,1450,11,"Northeast",230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",23,"M","H",102,"SIDEWALK",109,"SEMI-AUTOMATIC PISTOL","JA","Juv Arrest",34.1072,-118.187
"85","03/28/2020 12:00:00 AM",2020-03-28,600,7,"Wilshire",626,"INTIMATE PARTNER - SIMPLE ASSAULT",39,"F","H",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",34.0436,-118.3513
"86","04/21/2020 12:00:00 AM",2020-04-02,815,11,"Northeast",624,"BATTERY - SIMPLE ASSAULT",27,"M","H",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",34.1129,-118.2616
"87","03/23/2020 12:00:00 AM",2020-03-23,1300,2,"Rampart",230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",22,"M","H",103,"ALLEY",312,"PIPE/METAL PIPE","AO","Adult Other",34.063,-118.2727
"88","03/22/2020 12:00:00 AM",2020-03-21,1600,11,"Northeast",626,"INTIMATE PARTNER - SIMPLE ASSAULT",27,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",34.1094,-118.1963
"89","04/04/2020 12:00:00 AM",2020-03-29,1400,3,"Southwest",627,"CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT",7,"F","H",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest",34.0091,-118.3013
"90","04/01/2020 12:00:00 AM",2020-04-01,1800,7,"Wilshire",624,"BATTERY - SIMPLE ASSAULT",33,"F","W",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",34.0721,-118.3658
"91","03/21/2020 12:00:00 AM",2020-03-19,1320,9,"Van Nuys",624,"BATTERY - SIMPLE ASSAULT",33,"M","O",701,"HOSPITAL",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest",34.1976,-118.4574
"92","03/27/2020 12:00:00 AM",2020-03-26,2330,8,"West LA",624,"BATTERY - SIMPLE ASSAULT",15,"F","W",514,"GROUP HOME",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","JA","Juv Arrest",34.031,-118.411
"93","03/21/2020 12:00:00 AM",2020-03-21,2300,5,"Harbor",626,"INTIMATE PARTNER - SIMPLE ASSAULT",30,"F","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest",33.7361,-118.2968
"94","03/23/2020 12:00:00 AM",2020-03-23,1530,4,"Hollenbeck",812,"CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)",11,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest",34.0472,-118.2198
"95","03/25/2020 12:00:00 AM",2020-03-25,1510,2,"Rampart",626,"INTIMATE PARTNER - SIMPLE ASSAULT",26,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",0,0
"96","03/30/2022 12:00:00 AM",2020-03-30,1200,11,"Northeast",812,"CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)",9,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",34.0909,-118.2878
"97","05/01/2022 12:00:00 AM",2020-04-01,1400,16,"Foothill",812,"CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)",6,"F","H",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",34.2692,-118.3166
"98","03/27/2020 12:00:00 AM",2020-03-27,2130,4,"Hollenbeck",624,"BATTERY - SIMPLE ASSAULT",31,"M","H",222,"LAUNDROMAT",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",34.0865,-118.1647
"99","03/26/2020 12:00:00 AM",2020-03-26,1800,2,"Rampart",230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",64,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",200,"KNIFE WITH BLADE 6INCHES OR LESS","AA","Adult Arrest",34.0599,-118.2655
